name,organisation,country
Carlos Rafael Alonso Torres, CONABIO México, Mexico
Dominik Röpert, GBIF Germany, Germany
Jörg Holetschek, GBIF Germany, Germany
Manash Shah, GBIF Sweden, Sweden
Rui Figueira, GBIF Portugal, Portugal
Jérémy Goimard, Canadensys, Canada
Marie-Elise Lecoq, GBIF France, France
Carmen Lujano Bermúdez, GBIF Spain, Spain
Silvia Lusa Bernal, Real Jardín Botánico de Madrid (CSIC), Spain
Fabien Cavière, GBIF France, France
Santiago Martínez de la Riva, GBIF Spain, Spain
David Martin Atlas of Living Australia, GBIF Australia, Australia
Cristina Villaverde Úbeda-Portugués, GBIF Spain, Spain
