institution,country,language,status
Atlas of Living Tanzania, Tanzania, NA, Under development
The Field Museum, USA, English, Under development
GBIF Luxemburg, Luxemburg,"English, German & French", Under development
GBIF Chile, Chile, NA, In discussion
Habitat Foundation, Netherlands, NA, In discussion
NLBIF, Netherlands, NA, In discussion
Philippines Atlas of Biodiversity(PhAB), Philippines, NA, In discussion
"Royal Botanic Gardens, Kew", UK, English, In discussion
SiB Colombia, Colombia, NA, In discussion
TaiBIF, Taiwan, NA,	In discussion
